#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
121.8 -7.98 21.2 0.129978 -2.0678 1.93782 0.114889 -0.814213 -3.33899 23.0 X Y 212 SS
118.28 4.66 12.0 0.189499 3.78201 -3.97151 0.850068 0.130774 0.230187 23.0 X Y 213 SS
122.66 -0.62 40.0 -1.74586 0.556988 1.18887 2.62166 1.40758 -5.34514 24.0 X Y 214 SS-N
120.64 0.2 33.0 3.81573 1.34978 -5.16551 -2.30087 -4.38189 2.02278 25.0 X Y 215 R-SS
122.0 -1.48 10.0 0.815617 -0.861505 0.0458887 -0.690789 -0.194971 0.197377 24.0 X Y 216 R
126.64 -2.91 15.0 3.64407e-16 -7.3271 7.3271 1.24155 0.869341 2.66685 23.0 X Y 217 SS
122.14 2.14 29.6 4.054 -5.55668 1.50268 4.27811 -4.34738 1.05306 23.0 X Y 218 R
126.415 -4.073 18.4 0.148811 -3.25845 3.10964 0.925914 0.690834 5.23595 23.0 X Y 219 SS
124.4 4.65 27.3 0.143938 6.91036 -7.05429 1.05777 -0.154443 -3.63106 23.0 X Y 220 SS
129.98 2.44 22.5 1.15277 0.235976 -1.38874 0.537453 -0.609141 -0.442035 24.0 X Y 221 R-SS
123.228 -3.557 15.0 -4.92607 4.7538 0.172268 0.585857 1.44168 1.52149 24.0 X Y 222 N
123.242 -3.62 15.0 -1.23514 1.08177 0.153365 -0.275601 0.538636 0.786436 24.0 X Y 223 N-SS
123.262 -3.572 15.0 -2.09816 1.88414 0.214015 0.488334 0.189943 0.635433 24.0 X Y 224 N
125.93 -7.34 10.0 0.403747 -3.0629 2.65915 0.52666 1.0776 0.503691 24.0 X Y 225 SS-R
