date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1991-01-31,02:13:34.01,0.606,126.111,45.2,5.74,223.0,52.0,114.0,7.0,44.0,62.0,5.06,17.0,-4.49,-0.44,3.65,-0.71,-3.48,0.85,c
1991-02-02,12:39:27.58,1.642,126.354,20.0,5.09,11.0,41.0,-87.0,187.0,49.0,-92.0,5.4,16.0,5.76,0.82,-4.73,0.01,1.06,-1.04,c
1991-05-13,03:41:16.00,1.42,123.62,33.0,5.3,122.0,9.0,106.0,286.0,81.0,88.0,9.5e+23,23.0,,,,,,,c
1991-05-19,00:58:02.90,1.177,122.962,23.7,6.87,291.0,67.0,98.0,92.0,24.0,72.0,2.48,19.0,-0.02,0.73,1.77,-1.54,0.36,-1.75,c
1991-06-20,05:18:54.26,1.199,122.768,30.0,7.52,276.0,83.0,88.0,109.0,7.0,102.0,2.31,20.0,0,0.24,0.55,-2.23,0.12,-0.54,c
1991-06-21,06:09:02.20,2.74,126.64,38.5,5.4,28.0,32.0,102.0,194.0,59.0,83.0,1.36e+26,24.0,,,,,,,c
1991-06-21,12:14:18.60,1.56,122.74,15.0,5.4,321.0,63.0,150.0,65.0,64.0,30.0,1.65e+24,24.0,,,,,,,c
1991-06-21,16:17:31.51,1.147,123.065,31.2,5.36,69.0,31.0,58.0,285.0,64.0,108.0,1.38,17.0,0.21,0.35,1,-0.73,-0.05,-1.21,c
1991-08-08,02:09:48.87,1.088,122.542,30.0,6.59,273.0,65.0,92.0,88.0,25.0,86.0,9.44,18.0,1.18,0.4,6.62,-6.07,0.14,-7.81,c
1991-08-08,22:08:31.60,1.261,122.551,27.2,5.03,115.0,38.0,115.0,265.0,56.0,72.0,4.45,16.0,1.13,-0.53,3.52,-1.37,0.93,-4.65,c
1991-08-09,06:28:03.14,1.397,122.755,25.0,5.27,93.0,40.0,80.0,286.0,51.0,98.0,1.01,17.0,0.14,0.12,0.9,-0.18,0.22,-1.04,c
1991-11-01,02:51:13.83,1.238,122.098,30.0,5.93,286.0,66.0,108.0,66.0,30.0,55.0,9.75,17.0,2.28,2.25,6.26,-5.75,-0.3,-8.54,c
1991-11-18,08:33:55.50,3.599,126.678,15.0,5.3,7.0,25.0,133.0,141.0,72.0,72.0,11.1,16.0,-7,-6.23,5.76,5.75,3.27,1.24,c
1991-11-18,11:06:44.68,3.517,126.456,25.4,5.38,350.0,14.0,106.0,154.0,76.0,86.0,1.49,17.0,-0.61,-1.17,0.69,0.61,0.19,-0.08,c
1992-01-06,14:28:21.70,1.37,123.08,47.9,5.3,39.0,29.0,138.0,168.0,71.0,67.0,9.89e+23,23.0,,,,,,,c
1992-02-21,18:20:51.80,2.43,126.88,31.4,5.3,1.0,39.0,52.0,227.0,60.0,117.0,1.1999999999999999e+24,23.0,,,,,,,c
1992-03-24,22:47:07.20,3.22,126.96,19.0,5.9,197.0,6.0,121.0,346.0,85.0,87.0,9.82e+24,24.0,,,,,,,c
1992-04-16,08:00:56.58,1.277,122.613,34.2,6.09,258.0,78.0,82.0,111.0,14.0,122.0,1.68,18.0,0.2,-0.34,0.6,-1.49,0.02,-0.8,c
