"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
166.2,-11.5,EQ,
-114.8,-26.5,EQ,
140.4,-4.0,EQ,
-103.3,-35.8,EQ,
171.0,-22.1,EQ,
157.4,48.7,EQ,
96.1,26.7,EQ,
-167.2,-63.6,EQ,
-178.4,51.5,EQ,
145.1,16.3,EQ,
-179.5,-34.6,EQ,
-175.9,-22.9,EQ,
-175.9,-22.9,EQ,
-76.6,6.9,EQ,
-76.6,7.0,EQ,
146.7,14.1,EQ,
151.5,-5.3,EQ,
-150.5,61.7,EQ,
-169.3,52.4,EQ,
-87.9,12.9,EQ,
127.8,4.3,EQ,
124.6,3.1,EQ,
-178.5,-18.0,EQ,
179.1,-38.5,EQ,
126.2,5.9,EQ,
167.4,-15.2,EQ,
-173.3,-15.1,EQ,
-173.1,-15.0,EQ,
-173.3,-15.2,EQ,
-173.4,-15.0,EQ,
-0.0,71.7,EQ,
-173.3,-15.3,EQ,
-173.2,-15.2,EQ,
-1.7,-55.3,EQ,
150.5,-6.6,EQ,
-173.0,-15.5,EQ,
140.9,35.7,EQ,
-173.7,-14.9,EQ,
126.2,6.5,EQ,
147.0,43.6,EQ,
146.9,43.6,EQ,
-87.5,11.9,EQ,
126.3,9.2,EQ,
141.0,35.2,EQ,
127.0,8.3,EQ,
143.2,-6.6,EQ,
-13.1,-15.7,EQ,
124.0,10.0,EQ,
70.3,35.5,EQ,
-119.1,33.7,EQ,
128.7,2.2,EQ,
159.5,-9.8,EQ,
-175.8,-23.4,EQ,
126.8,9.1,EQ,
169.6,-21.5,EQ,
-100.7,-36.2,EQ,
-178.0,-25.7,EQ,
166.9,-12.6,EQ,
141.6,30.6,EQ,
141.6,30.7,EQ,
-177.1,-23.6,EQ,
129.9,-6.5,EQ,
146.5,43.4,EQ,
95.3,5.5,EQ,
-177.1,-23.3,EQ,
144.7,10.7,EQ,
179.2,-23.3,EQ,
-176.0,-18.9,EQ,
99.3,21.1,EQ,
73.6,35.7,EQ,
-178.0,-26.2,EQ,
131.7,-6.5,EQ,
79.0,49.9,EQ,
-19.8,-60.8,EQ,
-46.3,24.9,EQ,
131.0,-5.5,EQ,
131.0,-5.5,EQ,
148.7,-6.1,EQ,
-68.9,18.3,EQ,
142.2,29.1,EQ,
130.7,-6.3,EQ,
-1.6,-55.4,EQ,
127.9,-6.5,EQ,
170.5,-22.5,EQ,
-99.4,16.8,EQ,
170.5,-22.3,EQ,
170.6,-22.4,EQ,
-177.3,-18.1,EQ,
126.0,6.0,EQ,
125.9,4.1,EQ,
-110.3,-35.2,EQ,
73.6,35.6,EQ,
101.4,23.0,EQ,
170.1,-22.6,EQ,
-74.8,-39.1,EQ,
-62.8,10.4,EQ,
127.1,5.5,EQ,
170.8,-22.5,EQ,
-176.9,-28.2,EQ,
129.5,-6.8,EQ,
-66.6,-23.1,EQ,
126.9,2.1,EQ,
129.4,-7.0,EQ,
119.2,14.2,EQ,
170.6,-22.3,EQ,
170.5,-22.2,EQ,
-177.9,-30.1,EQ,
128.0,2.9,EQ,
-24.5,-1.1,EQ,
167.4,-14.8,EQ,
143.8,41.9,EQ,
-88.5,-41.5,EQ,
142.2,29.0,EQ,
79.9,-45.7,EQ,
-178.0,-30.0,EQ,
143.2,38.5,EQ,
-178.9,-23.3,EQ,
48.2,46.8,EQ,
48.3,46.8,EQ,
168.7,-21.4,EQ,
-91.6,14.4,EQ,
143.2,40.2,EQ,
140.3,-2.4,EQ,
-177.7,-18.6,EQ,
